,Job_Title,Company_Website,Seniority Level,Employment Type,Job Function,Industry Type,Selected Role Daily Task
15,AI and Machine Learning Engineer,https://in.linkedin.com/company/liangtuang,Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Liangtuang Technologies seeks an AI/Machine Learning Engineer with Python, AI, NLP, and deep learning expertise."
16,Data Scientist,https://www.linkedin.com/company/avua-international,Not Applicable,Full-time,Information Technology and Engineering,Information Services and Engineering Services,"Data Scientist position available, requiring expertise in uncovering insights from data and providing actionable recommendations."
17,Data Scientist,https://in.linkedin.com/company/truetechpro,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Data Scientist role involves leveraging data to solve business challenges using machine learning, data visualization, and collaboration."
18,Jr Data Scientist,https://www.linkedin.com/company/sciera-inc,Associate,Full-time,Other,IT Services and IT Consulting,"Sciera, an Atlanta-based data and technology company, seeks a Data Scientist with 1-3 years of experience for analyzing large data sets and building data products."
19,Senior Data Scientist,https://in.linkedin.com/company/bharatx,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet","Data Scientist role requires expertise in data analysis, machine learning, and AI development with a focus on building impactful products."
20,Data Scientist - Business Intelligence,https://in.linkedin.com/company/boyenhaddin,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"Data Scientist role requires strong skills in statistics, probability, linear algebra, optimization, and programming."
21,Sr. Data Scientist – IoT data & Satellite Analytics,https://in.linkedin.com/company/carnot-technologies-pvt-ltd,Associate,Full-time,Engineering and Other,Software Development and IT Services and IT Consulting,"Carnot Technologies, an AI-powered Agri IoT platform, seeks a Sr. Data Scientist to drive data innovations, develop models, and collaborate on cloud deployments."
22,Assistant Data Scientist,https://www.linkedin.com/company/ascendeum,Associate,Full-time,Information Technology,Advertising Services,Ascendeum seeks experienced data scientists to analyze large datasets and generate actionable insights for clients.
23,Data Scientist,https://in.linkedin.com/company/www-green-clover-in,Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"Quantitative analyst job requiring 3+ years of experience in data analysis, modeling, and machine learning, preferably in credit risk."
24,Data Scientist,https://www.linkedin.com/company/dataeconomysolutions,Entry level,Full-time,Engineering and Information Technology,Information Technology & Services,"Data Scientist role in Hyderabad/Pune requires 6-9 years of experience in data mining, statistical analysis, and programming languages like Python, Java, and R."
25,Machine Learning Engineer,https://in.linkedin.com/company/zenduty,Entry level,Full-time,Engineering and Information Technology,Software Development,Zenduty seeks a Machine Learning Engineer to enhance its incident management platform using innovative machine learning solutions.
26,Machine learning developer,https://www.linkedin.com/company/nustar-technologies-inc.,Mid-Senior level,Full-time,Engineering and Information Technology,Information Technology & Services,"ML Engineer needed in Hyderabad, with Python, Pandas, Numpy, NLP, RASA, Docker, Kubernetes, and MLOps experience."
27,Machine Learning,https://in.linkedin.com/company/reach-skyline,Entry level,Internship,Engineering and Information Technology,Advertising Services,"Intern will design ML pipelines, integrate DL models, manage API endpoints, and collaborate on production-ready solutions."
28,Machine Learning Engineer,https://in.linkedin.com/company/yo-hr-consultancy-pvt-ltd,Associate,Full-time,Engineering and Information Technology,Business Consulting and Services,"Machine learning engineer role requiring 3+ years of experience, proficiency in ML frameworks, and cloud data processing technologies."
29,Data Scientist,https://ca.linkedin.com/company/sybex-support-services,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Data Scientist contract role in Bangalore requiring 2-4 years of experience in data science, machine learning, and data visualization."
30,MACHINE LEARNING AI PLATFORM ENGINEER,https://in.linkedin.com/company/boyenhaddin,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"AI Platform Engineer role seeks PhDs with 12-15 years of experience in developing AI/ML solutions for industries like banking, healthcare, and manufacturing."
31,Lead Data Scientist,https://in.linkedin.com/company/epsilonindia,Mid-Senior level,Full-time,Information Technology,Information Services,"Epsilon Automotive Data Science team uses AI/ML for customer acquisition, engagement, and retention."
32,Data Scientist,https://in.linkedin.com/company/boyenhaddin,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"Data Scientist role requiring 4-5 years of experience in automotive domain, machine learning, Python, applied statistics, SQL, Git, and data visualization tools."
33,Machine Learning Engineer,https://in.linkedin.com/company/56secure,Entry level,Full-time,"Information Technology, Analyst, and Engineering","Software Development, IT Services and IT Consulting, and Technology, Information and Internet",56 Secure seeks a Deep Learning Engineer to develop and deploy AI models for their internal AI Accelerator Stack.
34,Data Scientist,https://in.linkedin.com/company/huntingcube,Entry level,Full-time,Engineering and Information Technology,Human Resources Services,"Analyze large data sets, create predictive models, and identify patterns for systematic quantitative strategies."
35,Machine Learning,https://www.linkedin.com/company/avaari,Entry level,Internship,Engineering and Information Technology,Community Services,"Develop and implement machine learning algorithms, analyze data, collaborate on AI solutions, and contribute to Avaari's AI revolution."
36,Machine Learning Expert - BLR HYD GGN,https://www.linkedin.com/company/genpact,Mid-Senior level,Full-time,"Information Technology, Science, and Other","Business Consulting and Services, Computer Networking Products, and Software Development",Genpact seeks Manager/Senior Manager for Machine Learning in Bangalore/Hyderabad/Gurgaon.
37,Data Scientist - Python,https://in.linkedin.com/company/awign-enterprises,Entry level,Contract,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development","Data analysis role with 6-month contract, remote, full-time, immediate joiner required. Focuses on data interpretation, analysis, and insight generation using mathematical and statistical techniques."
38,AI ENGINEER,https://in.linkedin.com/company/www.nexushire.in,Mid-Senior level,Full-time,Engineering and Information Technology,Human Resources Services,"Generative AI/ML engineer with expertise in Python, Langchain, Hugging Face, and GCP seeks a position in AI and ML development."
39,Data Scientist,https://www.linkedin.com/company/jiva-adventures,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet","Experienced in building ML pipelines, proficient in Python and scientific packages, skilled in data mining, distributed computing, and NLP."
40,Lead Data Scientist,https://www.linkedin.com/company/epsilon,Mid-Senior level,Full-time,Analyst and Other,"IT Services and IT Consulting, Advertising Services, and Data Infrastructure and Analytics","Lead Data Scientist supporting stakeholders, deploying projects, improving efficiency, and coaching junior data scientists."
41,Decision Scientist ( Data Analytics ),https://in.linkedin.com/company/yo-hr-consultancy-pvt-ltd,Executive,Full-time,Engineering and Information Technology,Business Consulting and Services,"4-year experience data analyst with Python/R, data visualization, and statistical skills for fintech or consulting role."
42,Data Scientist (Remote),https://www.linkedin.com/company/codvo,Entry level,Full-time,Engineering,IT Services and IT Consulting,"Codvo seeks an experienced Data Scientist with expertise in statistical techniques, machine learning algorithms, and Python for a remote role in Bangalore."
43,AI Researcher,https://www.linkedin.com/company/fusemachines,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,Fusemachines seeks to democratize AI through its services and expertise in AI. The role requires a bachelor's in computer science and 2+ years of experience in AI.
44,Junior data Scientist,https://in.linkedin.com/company/zigsaw-consultancy-services,Entry level,Full-time,Engineering and Information Technology,Community Services,"Computer vision expert with 2-3 years of experience in deep learning, Python, and cloud architecture."
45,Data Scientist - Machine Learning,https://in.linkedin.com/company/boyenhaddin,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"Data Scientist role requires a technical background, experience in machine learning, and familiarity with tools like Tensorflow and PyTorch."
46,Data Scientist,https://in.linkedin.com/company/optimum-data-analytics,Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting,"Senior Data Scientist role focuses on driving improvements using ML and NLP, leveraging data for profitable growth and customer experience."
47,Data Science,https://in.linkedin.com/company/innovation-hacks-ai,Entry level,Internship,Engineering and Information Technology,IT Services and IT Consulting,"Intern's tasks include data collection, analysis, modeling, and presenting insights to solve business challenges."
48,Sr. Data Scientist,https://in.linkedin.com/company/gminfotech,Mid-Senior level,Full-time,Engineering and Information Technology,Marketing Services,"Sr. Data Scientist job at a US-based MNC requires a Master's in Statistics/related field, proficiency in data analysis and programming languages, and experience in applying machine learning to real-world problems."
49,Data Scientist Resource,https://in.linkedin.com/company/kudzuinfotech,Associate,Full-time,Engineering and Information Technology,Information Technology & Services,"Kudzu Infotech seeks an experienced Data Scientist for client analytics, project management, and model implementation in Mumbai."
50,Machine Learning Engineer,https://www.linkedin.com/company/omniskopeinc,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,Omniskope seeks a visionary Machine Learning Engineer to create AI-powered solutions using the Salesforce platform.
51,Data Scientist,https://www.linkedin.com/company/cortex-consultants,Entry level,Full-time,Other,IT Services and IT Consulting,"Data Scientist role in Chennai, requiring 7+ years of experience in ML and data visualization, with an on-site work requirement."
52,Machine Learning / Data Science Engineer,https://in.linkedin.com/company/redient-security,Associate,Contract,Information Technology,IT Services and IT Consulting,"Python Engineer for Machine Learning: Create scalable, stable Python services and implement machine learning algorithms."
53,Senior Data Scientist,https://www.linkedin.com/company/infovision,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"InfoVision seeks a data scientist with expertise in NLP, ML, and SAS for media intelligence solutions."
54,Machine Learning Engineer,https://in.linkedin.com/company/hopshealthcare,Executive,Full-time,Engineering and Information Technology,Hospitals and Health Care,Develop and optimize computer vision algorithms for crop forecasting and disease management.
55,"Software Engineer - NLP, Machine Learning",https://uk.linkedin.com/company/forstainfo,Mid-Senior level,Full-time,Engineering,Software Development,Press Ganey seeks a skilled Software Engineer with NLP expertise to develop tools for text analysis and enhance healthcare analytics.
56,Data Scientist,https://in.linkedin.com/company/entalsetu,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Lead large data science projects, design and deploy ML models, analyze data, and communicate findings to stakeholders."
57,Data Scientist - Ahmedabad,https://in.linkedin.com/company/adani-group,Entry level,Full-time,Engineering and Information Technology,Utilities,"Data strategist role in leveraging company data for business solutions, AI solution development, and model implementation."
58,Data Scientist,https://www.linkedin.com/company/equifax,Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services,"Equifax seeks an experienced professional to lead its expanding Analytics practice, focusing on Retail Bank Marketing and Risk Analytics."
59,Data Scientist - Digital Marketing,https://in.linkedin.com/company/indigo-airlines,Entry level,Full-time,Engineering and Information Technology,Airlines and Aviation,"Statistical Analyst role involves analyzing data, developing models, and presenting insights to optimize decision-making."
60,Data Scientist,https://in.linkedin.com/company/qrata,Mid-Senior level,Full-time,Engineering and Information Technology,Human Resources,"Data Scientist role involves planning projects, building analytics models, and using ML techniques to improve products and business decisions."
61,Research Scientist(RTB/NLP),https://www.linkedin.com/company/knorex,Associate,Full-time,Research,"Technology, Information and Internet",Knorex is a technology company offering programmatic advertising products and solutions to marketers worldwide.
62,Machine Learning Engineer,https://www.linkedin.com/company/responsiveio,Entry level,Full-time,Engineering and Information Technology,Software Development,"Responsive seeks ML Engineer with Python, NLP, and ML/DL expertise to develop and implement models that enhance products and services."
63,Data Scientist,https://in.linkedin.com/company/easyfix-handymen-solutions,Entry level,Full-time,"Information Technology, Analyst, and Engineering","Accounting, Banking, and Financial Services",OkCredit seeks a Machine Learning Engineer with 3+ years of experience to build and maintain scalable ML systems.
64,Machine Learning Engineer (Python / NLP),https://www.linkedin.com/company/meetrecord,Entry level,Full-time,Engineering and Information Technology,Software Development,Machine Learning Engineer role to develop AI-driven sales intelligence platform using NLP and PyTorch/Keras.
65,Data Scientist,https://in.linkedin.com/company/qrata,Mid-Senior level,Full-time,Engineering and Information Technology,Human Resources,"Analyze blockchain data, develop metrics, and build dashboards to evaluate crypto assets and decentralized applications."
66,AI/ML Engineer - Signal Processing Specialist,https://in.linkedin.com/company/optical-arc-pvt-ltd,Associate,Contract,Engineering,IT Services and IT Consulting,"AI/ML Engineer needed for signal processing in Amagasaki, Japan; Python, machine learning algorithms, and signal processing expertise required."
67,Data Scientist,https://www.linkedin.com/company/equifax,Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services,"Lead large analytics teams, deliver solutions in retail banking, mentor junior consultants, and possess 3+ years of experience in BFSI analytics."
68,Data Scientist_Radhika,https://in.linkedin.com/company/codersbrain,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Data Scientist with 4-5 years of experience in data analytics, programming skills, and problem-solving abilities."
69,"Scientist, Data Platform Optimization",https://bm.linkedin.com/company/axaxl,Not Applicable,Full-time,Engineering and Information Technology,Insurance,AXA XL seeks a Scientist for Data Platform Optimization to optimize data usage and strengthen digital and AI capabilities.
70,Data Scientist II,https://in.linkedin.com/company/cheggindia,Entry level,Full-time,Engineering and Information Technology,"Software Development, E-Learning Providers, and Education Administration Programs","Chegg seeks a Data Scientist to analyze complex data, build analytic products, and present findings to stakeholders."
71,Machine Learning Engineer - Python/SQL,https://uk.linkedin.com/company/infiniti-research,Entry level,Full-time,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development","Machine Learning Engineer needed with 3-5 years' experience in Python, GitHub Actions, SQL, Databricks, Azure ML, and MLOps."
72,Geospatial Data Scientist,https://nl.linkedin.com/company/blueskyhq,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet","Blue Sky Analytics utilizes satellite data to provide environmental intelligence for carbon markets, asset monitoring, and climate risk analytics."
73,Data Scientist,https://in.linkedin.com/company/pracemo,Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Data scientist needed for a fast-paced startup, specializing in credit scoring engines and recommender systems using NLP and machine learning techniques."
74,Data Scientist,https://in.linkedin.com/company/thoucentric,Entry level,Full-time,Engineering and Information Technology,Business Consulting and Services,"Thoucentric, a consulting firm, seeks data scientists to create innovative ML solutions and solve complex business problems using advanced ML and DL techniques."
75,Data Scientist,https://in.linkedin.com/company/peoplestaffingsolutions,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"Data Scientist role in Hyderabad requires 4+ years of experience in Data Science, Machine Learning, Text Analytics, Regression, and API implementation."
76,Data Scientist Manager,https://uk.linkedin.com/company/versatile-people,Mid-Senior level,Contract,Information Technology,Staffing and Recruiting,Remote 3-6 month contract role for experienced data scientist with Python and leadership skills.
77,Machine Learning Engineer,https://in.linkedin.com/company/appstane-technologies,Executive,Full-time,Information Technology,Software Development,"Machine Learning Engineer role requiring expertise in data structures, modeling, deep learning, NLP, and deployment on servers."
78,Data Scientist - III,https://in.linkedin.com/company/medibuddy,Entry level,Full-time,Engineering and Information Technology,Wellness and Fitness Services,"MediBuddy is a digital platform offering online and offline medical services, collaborates with medical experts, and uses technology to solve customer challenges."
79,Computer Vision Engineer (Detection & Tracking),https://in.linkedin.com/company/qweensnetwork,Entry level,Full-time,Engineering and Information Technology,Human Resources Services,"Computer Vision Engineer role in Andheri, Mumbai, requires 3-7 years of experience in deep learning and object detection/tracking."
80,Python Developer / Any Fresh Graduate,https://in.linkedin.com/company/technofactorx-ai,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet","Python developer needed for coding, testing, and integrating applications and data."
81,Python &amp; Machine Learning Engineer - Pandas/Numpy,https://in.linkedin.com/company/thireglobalservices,Entry level,Full-time,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development","Python Developer/ML Engineer role in Bangalore requires 2-4 years of experience, strong Python skills, knowledge of ML algorithms, and excellent communication skills."
82,Data Scientists with career break-Woman,https://in.linkedin.com/company/hersecondinnings,Entry level,Full-time,Engineering and Information Technology,Non-profit Organizations,"Data Scientist job openings in Gurgaon, Bangalore, Pune, Noida, Mumbai, and Hyderabad for women with 4+ years of experience in data science."
83,Data Scientist,https://in.linkedin.com/company/ltimindtree,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"LTIMindtree seeks experienced Data Scientist for ML/NLP model design, development, and implementation."
84,Junior Data Scientist,https://in.linkedin.com/company/prescience-decision-solutions,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Data Scientist role involving applying scientific principles to solve retail problems, developing algorithms, and implementing new modules."
85,Data Scientist,https://www.linkedin.com/company/equifax,Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services,"Analyze client needs, develop analytical solutions, contribute to practice growth, support project teams, and manage junior data scientists."
86,Machine Learning Engineer,https://www.linkedin.com/company/tacsecurity,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"Machine Learning Engineer role at TAC Security requires Python, Data Science skills, and experience in MySQL, Hadoop, and Spark."
87,Machine Learning Ops Engineer,https://in.linkedin.com/company/tamcherry-zaportiv,Entry level,Full-time,Engineering and Information Technology,Information Technology & Services,"MLOps engineer role requires experience in DevOps, Data Engineering, and Machine Learning Operations with a focus on cloud-based services."
88,Machine Learning Engineer,https://www.linkedin.com/company/datasee-ai,Associate,Full-time,Engineering and Information Technology,Data Infrastructure and Analytics,Datasee.AI seeks a Computer Vision & Machine Learning Engineer to develop their robotic harvesting system's visual intelligence using deep learning and computer vision expertise.
89,Python Developer,https://in.linkedin.com/company/techladd,Associate,Full-time,Engineering and Information Technology,Software Development,2020
90,Machine learning Engineer,https://in.linkedin.com/company/acmeservices,Entry level,Full-time,Other,Human Resources Services,"Kubernetes experience, Python programming, Git and GitOps familiarity, MLOps and industry best practices knowledge, and strong communication skills."
91,Senior Data Scientist,https://uk.linkedin.com/company/deliveroo,Mid-Senior level,Full-time,Engineering and Information Technology,Food and Beverage Services,"Deliveroo seeks data scientists to maximize business impact, solve problems, and drive growth in various areas of the company."
92,Senior Data Scientist,https://www.linkedin.com/company/systemsofttech,Mid-Senior level,Contract,Information Technology,Airlines and Aviation,"Senior Data Scientist needed for model monitoring solution, experienced in statistical concepts, core data science, machine learning implementation, and LLM models."
93,Data Scientist – Delivery & New Frontiers Manager,https://in.linkedin.com/company/tamcherry-zaportiv,Mid-Senior level,Full-time,Engineering and Information Technology,Information Technology & Services,"Highly skilled data scientist needed to design, develop, and deploy data science solutions that drive business value."
94,Senior Data Scientist (NLP / GenAI),https://in.linkedin.com/company/recruitingsniper,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet","Senior Data Scientist role in Bangalore for AI Startup requires expertise in data science, statistics, and programming languages."
95,Data Scientists with career break-Woman,https://in.linkedin.com/company/hersecondinnings,Entry level,Full-time,Engineering and Information Technology,Non-profit Organizations,"Data Scientist positions available in multiple locations for women with varying experience levels. Requires expertise in data analysis, modeling, and cloud technologies."
96,Data scientist,https://in.linkedin.com/company/hyrefox,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,"Data scientist with 0-3 years of experience in Python, machine learning, and data cleaning seeks role involving data pipelines, data quality improvement, data dictionaries, reporting, and decision-making."
97,Data Scientist,https://www.linkedin.com/company/andreglobal,Entry level,Full-time,Other,IT Services and IT Consulting,"Experience in Databricks, Python, Spark, Machine Learning, Deep Learning, NLP, Cloud/AWS, and a Bachelor's/Master's degree in a relevant field."
98,Machine Learning Engineer,https://in.linkedin.com/company/huntnbadge,Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting,Senior-level Big Data Software Developer with expertise in ML model deployment and advanced data analysis techniques.
99,Data Scientist,https://in.linkedin.com/company/qrata,Mid-Senior level,Full-time,Engineering and Information Technology,Human Resources,"Bachelor's degree in data science, 2+ years' experience, financial services domain experience preferred, strong applied statistics and machine learning skills, experience with scalable ML solutions, and experience with Hadoop, Spark, and Kafka."
100,Data Scientists with career break-Woman,https://in.linkedin.com/company/hersecondinnings,Entry level,Full-time,Engineering and Information Technology,Non-profit Organizations,"Data Scientist job openings in Gurgaon, Bangalore, Pune, Noida, Mumbai, and Hyderabad for women with 4+ years of experience in data science."
101,Data Scientist,https://www.linkedin.com/company/ibm,Not Applicable,Full-time,Information Technology,Computer Hardware Manufacturing,IBM seeks an experienced Data Scientist for AI/ML development using Python and frameworks like TensorFlow.
102,Data Scientist,https://sg.linkedin.com/company/ada-asia,Entry level,Full-time,Engineering and Information Technology,Software Development,"Data Scientist (Fresher): Analyze data, build models, solve business problems, collaborate, communicate insights, learn continuously."
103,Data Scientist�,https://www.linkedin.com/company/fusion-plus-solutions-inc,Mid-Senior level,Full-time,Information Technology,Information Technology & Services,Seeking experienced Machine Learning Engineer with strong programming skills and research interests.
104,Data Scientist,https://in.linkedin.com/company/ideslabs-pvt-ltd,Entry level,Full-time,Other,IT Services and IT Consulting,Data Scientist analyzes big data to understand researcher behavior and improve their experience with Springer Nature.
105,Data Scientist,https://www.linkedin.com/company/ibm,Not Applicable,Full-time,Information Technology,Computer Hardware Manufacturing,"IBM seeks experienced data scientists to develop AI solutions using cutting-edge technologies, collaborate with teams, and drive innovation."
106,Data Scientist - Machine Learning/Predictive Modeling,https://in.linkedin.com/company/techfourtechnologys,Entry level,Full-time,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development","Data Scientist role in Sarita Vihar, New Delhi requires 4-6 years of experience in data analysis, machine learning, and predictive modeling."
107,Data Scientist,https://www.linkedin.com/company/ibm,Not Applicable,Full-time,Information Technology,Computer Hardware Manufacturing,"IBM seeks experienced Data Scientist for AI/ML solutions, utilizing IBM Watsonx and exploring foundation models for various business problems."
108,Data Scientist,https://www.linkedin.com/company/ibm,Not Applicable,Full-time,Information Technology,Computer Hardware Manufacturing,"IBM seeks experienced data scientists for AI/ML solutions, offering opportunities to explore cutting-edge technologies and solve real-world problems."
109,Machine Learning/Data Engineer - NLP/Deep Learning,https://www.linkedin.com/company/propellum-com,Entry level,Full-time,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development","Machine learning expert needed for data analysis, model development, and infrastructure management."
110,Machine Learning Engineer - Predictive Modeling,https://in.linkedin.com/company/geeksforgeeks,Entry level,Full-time,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development","Seeking skilled Machine Learning Engineer with 1+ year of experience for data analysis, algorithm design, and model deployment."
111,Data Scientist,https://www.linkedin.com/company/ibm,Not Applicable,Full-time,Information Technology,Computer Hardware Manufacturing,"IBM seeks a Data Scientist to transform client data into business value, develop AI solutions, and engage with customers."
112,Data Scientist,https://www.linkedin.com/company/dori-ai,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Dori AI seeks a Data Scientist with 2+ years of experience in machine learning and computer vision to analyze data and build products.
113,Lead Data Scientist,https://in.linkedin.com/company/wenger-&-watson-inc-,Mid-Senior level,Full-time,"Analyst, Consulting, and Engineering","IT Services and IT Consulting, Insurance, and Software Development",Lead Data Scientist role available in Chennai for insurance client. Requires 16+ years of experience and expertise in machine learning and data analysis.
114,Data Scientists with career break-Woman,https://in.linkedin.com/company/hersecondinnings,Entry level,Full-time,Engineering and Information Technology,Non-profit Organizations,"Data Scientist job openings for women with 4+ years of experience in Gurgaon, Bangalore, Pune, Noida, Mumbai, and Hyderabad."
115,Data Scientist,https://in.linkedin.com/company/10times-events,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet","10Times seeks a Data Scientist to manage large data, identify sources, build models, and collaborate with management."
116,Data Scientist,https://in.linkedin.com/company/decathlon-sports-india,Entry level,Full-time,Engineering and Information Technology,Retail,Decathlon is seeking experienced data scientists to develop solutions and drive success across various departments using statistical and machine learning techniques.
117,Data Scientist,https://www.linkedin.com/company/cardinal-health,Mid-Senior level,Full-time,Engineering and Information Technology,"Hospitals and Health Care, Transportation, Logistics, Supply Chain and Storage, and Medical Equipment Manufacturing",Cardinal Health's Data Science team uses advanced analytics to drive business decisions and create competitive advantages.
118,"Senior Data Scientist, Causal Inference",https://uk.linkedin.com/company/deliveroo,Mid-Senior level,Full-time,Engineering and Information Technology,Food and Beverage Services,"Deliveroo seeks data scientists to design and analyze experiments, identify causal relationships, and solve complex business problems."
119,Data Scientist (3-6 years),https://www.linkedin.com/company/codvo,Entry level,Full-time,Engineering,IT Services and IT Consulting,"Codvo seeks a Data Scientist with 2.5-5 years of experience for remote work, specializing in advanced statistical techniques, machine learning, and deep learning."
120,Lead Data Scientist,https://www.linkedin.com/company/freshworks-inc,Mid-Senior level,Full-time,Information Technology,Software Development,"Lead Data Scientist role at Freshworks to apply Generative AI to employee engagement, building conversational servicebots and AI/ML solutions."
121,Lead Data Scientist,https://in.linkedin.com/company/epsilonindia,Mid-Senior level,Full-time,Information Technology,Information Services,"Epsilon India offers a data science role to develop data science capabilities, analyze data, and present solutions to stakeholders."
122,Machine Learning/ NLP Engineer,https://www.linkedin.com/company/inoviumerp,Mid-Senior level,Full-time,Other,Software Development,"TIFIN, an AI-powered fintech platform, seeks an NLP Engineer in Mumbai to drive research and innovation in conversational AI."
123,Machine Learning Engineer,https://www.linkedin.com/company/wayfair,Mid-Senior level,Full-time,Engineering,Retail,"Wayfair seeks a Machine Learning Engineer to develop AI solutions, enhancing customer experience and driving business growth."
